iter	Passed	Remaining
183	26142	87522
184	26290	87396
185	26422	87223
186	26556	87055
187	26699	86916
188	26842	86777
189	26988	86646
190	27126	86492
191	27278	86381
192	27416	86226
193	27440	85714
194	27582	85577
195	27724	85436
196	27863	85289
197	28008	85156
198	28138	84981
199	28273	84821
200	28406	84654
201	28546	84507
202	28687	84368
203	28836	84247
204	28972	84091
205	29098	83906
206	29238	83761
207	29382	83627
208	29513	83456
209	29650	83302
210	29796	83176
211	29928	83009
212	30065	82856
213	30207	82718
214	30346	82571
215	30487	82428
216	30629	82289
217	30762	82126
218	30899	81975
219	31029	81805
220	31165	81649
221	31305	81506
222	31435	81337
223	31574	81190
224	31704	81023
225	31847	80887
226	31985	80739
227	32122	80588
228	32265	80452
229	32406	80310
230	32541	80156
231	32674	79996
232	32809	79841
233	32943	79684
234	33087	79550
235	33221	79394
236	33358	79244
237	33502	79110
238	33640	78963
239	33781	78824
240	33918	78674
241	34045	78502
242	34180	78347
243	34318	78200
244	34447	78034
245	34584	77886
246	34715	77724
247	34845	77559
248	34990	77429
249	35130	77287
250	35275	77155
251	35418	77020
252	35549	76860
253	35686	76712
254	35842	76605
255	35997	76493
256	36137	76352
257	36277	76211
258	36428	76092
259	36567	75947
260	36751	75896
261	36938	75851
262	37100	75752
263	37254	75638
264	37411	75528
265	37548	75379
266	37704	75268
267	37848	75131
268	37992	74996
269	38131	74850
270	38287	74737
271	38433	74606
272	38581	74478
273	38732	74355
274	38900	74264
275	39049	74138
276	39201	74015
277	39378	73940
278	39515	73790
279	39657	73649
280	39801	73511
281	39944	73372
282	40087	73233
283	40220	73077
284	40364	72938
285	40517	72817
286	40660	72678
287	40795	72524
288	40930	72372
289	41074	72234
290	41214	72089
291	41361	71957
292	41496	71804
293	41645	71675
294	41814	71580
295	41957	71441
296	42101	71303
297	42239	71155
298	42390	71029
299	42541	70902
300	42701	70791
301	42843	70648
302	43001	70533
303	43151	70404
304	43308	70287
305	43440	70130
306	43592	70003
307	43733	69859
308	43872	69712
309	44015	69572
310	44168	69447
311	44310	69305
312	44446	69154
313	44582	69003
314	44716	68848
315	44847	68690
316	44983	68538
317	45113	68378
318	45249	68229
319	45384	68076
320	45524	67932
321	45667	67792
322	45805	67644
323	45941	67494
324	46076	67341
325	46214	67195
326	46360	67059
327	46504	66921
328	46642	66774
329	46783	66631
330	46915	66474
331	47058	66334
332	47195	66186
333	47329	66035
334	47475	65899
335	47610	65747
336	47749	65603
337	47902	65476
338	48037	65325
339	48189	65197
340	48334	65059
341	48471	64912
342	48628	64791
343	48775	64655
344	48914	64510
345	49050	64360
346	49180	64204
347	49320	64060
348	49461	63916
349	49599	63770
350	49740	63627
351	49881	63485
352	50032	63355
353	50178	63218
354	50309	63063
355	50443	62913
356	50588	62775
357	50719	62620
358	50870	62489
359	51055	62401
360	51205	62269
361	51347	62127
362	51495	61993
363	51630	61842
364	51778	61708
365	51920	61567
366	52053	61415
367	52189	61265
368	52329	61122
369	52470	60978
370	52603	60827
371	52734	60673
372	52880	60536
373	53023	60396
374	53162	60251
375	53306	60111
376	53447	59969
377	53592	59830
378	53732	59686
379	53879	59550
380	54013	59400
381	54143	59245
382	54274	59092
383	54410	58944
384	54551	58802
385	54686	58653
386	54825	58508
387	54963	58362
388	55102	58219
389	55248	58081
390	55393	57944
391	55548	57815
392	55689	57673
393	55829	57529
394	55968	57385
395	56101	57234
396	56245	57095
397	56377	56943
398	56513	56797
